2026-01-30 01:30:51 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:56 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:02 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:07 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:12 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:17 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:22 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:27 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:32 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:38 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:43 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:48 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:53 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:31:58 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:03 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:08 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:13 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:18 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:23 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:28 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:33 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:39 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:44 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:49 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:54 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:32:59 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:04 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:09 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:14 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:19 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:25 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:30 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:35 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:40 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:45 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:50 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:33:55 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:00 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:05 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:10 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:16 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:21 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:26 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:31 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:36 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:41 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:46 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
